,sum_duration_hrs,fips_code,counts_of_outage,average_sums,number_of_data_centers,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23",CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2023_x,Civilian_labor_force_2023,Employed_2023,Metro_2023,Rural_Urban_Continuum_Code_2023_y,Unemployed_2023,Unemployment_rate_2023,BIRTHS_2023,DEATHS_2023,DOMESTIC_MIG_2023,GQ_ESTIMATES_2023,INTERNATIONAL_MIG_2023,NATURAL_CHG_2023,NET_MIG_2023,N_POP_CHG_2023,POP_ESTIMATE_2023,RESIDUAL_2023,R_BIRTH_2023,R_DEATH_2023,R_DOMESTIC_MIG_2023,R_INTERNATIONAL_MIG_2023,R_NATURAL_CHG_2023,R_NET_MIG_2023,Rural_Urban_Continuum_Code_2023,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,avg_durations_hrs,sum_duration_hrs,sums_sum,avg_power_usage,avg_carbon_emission
R_NET_MIG_2023,-0.218474794,0.131034958,-0.105700235,-0.083660078,-0.139955725,0.06089844,0.045941882,0.043502101,0.041774766,-0.2756804,-0.261700746,-0.240026836,-0.220431233,-0.291852133,-0.286878073,-0.306789032,-0.302717011,-0.28976443,-0.267360288,-0.233293706,-0.203492174,-0.30575184,-0.281157015,-0.246802022,-0.224410815,-0.207033458,-0.194563623,-0.270244209,-0.25959942,-0.194028853,-0.163011636,-0.08690736,0.059638408,0.13271971,0.191486105,0.199475969,0.216467979,0.179303334,0.162254428,0.148630055,0.021499933,-0.025923446,-0.085468999,-0.244394664,-0.197116662,-0.165722368,-0.14759513,-0.23489612,-0.014591662,0.309801523,0.238898164,-0.258794294,-0.264124943,-0.25889866,-0.243605272,-0.214369752,-0.185197127,-0.209492592,-0.21943425,,,-0.211407874,-0.216667177,-0.266965478,-0.228613449,-0.029630885,-0.122594388,-0.229067442,,,-0.129434356,-0.227637739,-0.195100246,-0.234203426,0.012553833,-0.008373205,-0.161824223,,-0.166344001,-0.229801898,-0.224772571,,-0.222795612,-0.231585326,0.043502101,-0.206068358,-0.205477406,-0.04240455,0.043502101,-0.212594092,-0.177036304,-0.212217584,-0.203318786,0.489862447,-0.265598406,-0.165535504,-0.186618231,0.548553327,0.471271763,-0.202288186,0.058737617,-0.207263775,0.14591342,0.971809507,-0.229714777,-0.21015022,1,0.043502101,0.164025541,-0.257882115,-0.312055133,0.21579007,-0.105678676,-0.218474794,-0.168037739,0.088986424,0.097732297
"Percent of adults completing some college or associate degree, 2019-23",-0.259730069,-0.034955203,-0.295493264,-0.007952144,-0.255184092,0.323372681,0.290656886,0.305453622,0.377808307,-0.362352684,-0.373142287,-0.364610015,-0.35898039,-0.357843683,-0.356748747,-0.286306955,-0.276119967,-0.276241405,-0.26113667,-0.239371126,-0.212659164,-0.293472389,-0.272709982,-0.235983046,-0.213768335,-0.192983387,-0.185719508,-0.401092108,-0.469867507,0.104957636,0.205912197,0.423724681,0.690497253,0.889222019,1,0.349094295,0.34584481,0.303396749,0.319391497,0.005955057,-0.047223631,-0.061834914,-0.069513725,-0.543397165,-0.557067737,-0.580666517,-0.590163107,0.221066795,0.377576015,0.018593301,-0.001739098,-0.248904251,-0.237458898,-0.219846275,-0.207616558,-0.182632858,-0.163312026,0.032575845,-0.170956071,,,0.003882149,-0.168992506,0.003124782,-0.205963957,-0.414662853,0.132648029,-0.1901921,,,0.105084909,-0.190133802,0.087237693,-0.217373649,-0.375342912,-0.396490054,0.092024011,,0.064348657,0.050003951,-0.18142701,,-0.18058689,-0.211969706,0.305453622,-0.273150143,-0.275077459,-0.221608013,0.305453622,-0.222623268,0.108620486,-0.24291455,-0.206988193,0.276267258,-0.309415295,-0.320192673,-0.261622724,0.149704365,0.036066167,-0.251881243,0.162490491,-0.050359791,0.394290233,0.301268765,-0.52035379,-0.316737023,0.191486105,0.305453622,-0.053871182,0.191360875,0.146083712,-0.096506886,-0.057852163,-0.259730069,-0.094613069,0.14752706,0.071637767
"Percent of adults who are high school graduates (or equivalent), 2000",-0.422184215,0.160762976,-0.286101565,-0.048851814,-0.280230995,0.386428761,0.309209138,0.363617745,0.31098722,-0.384197811,-0.413795561,-0.421943316,-0.428679702,-0.322117061,-0.360698283,-0.212126204,-0.22733266,-0.22768933,-0.232364601,-0.247209898,-0.256251233,-0.178419301,-0.192728446,-0.209567149,-0.231534216,-0.25144561,-0.2607561,-0.695451152,-0.768519617,-0.617315255,-0.658419239,-0.491679252,-0.225837435,0.076418249,0.34584481,0.930021297,1,0.949825949,0.893361116,0.404057623,0.238899413,0.128251807,0.048695772,-0.778295893,-0.760733299,-0.731441156,-0.714087848,0.126312493,0.540799195,0.421178767,0.44790206,-0.272117098,-0.305051182,-0.319695437,-0.328065261,-0.330017584,-0.327227138,0.136928588,-0.257908856,,,0.11137721,-0.254976353,0.043380074,-0.291491404,-0.500209995,0.26485981,-0.281362471,,,0.243957998,-0.280391292,0.166416623,-0.304406829,-0.454036912,-0.478938363,0.21450212,,0.192519875,0.112357992,-0.270709335,,-0.268957973,-0.298302617,0.363617745,-0.372247541,-0.374375888,-0.304483937,0.363617745,-0.314265731,0.079299116,-0.362074752,-0.293859162,0.220147439,-0.359671086,-0.33135175,-0.417714861,0.065745106,-0.119009963,-0.358296416,-0.01092292,-0.118648816,0.663769511,0.311248231,-0.466659681,-0.547162302,0.216467979,0.363617745,-0.328776533,-0.194415425,-0.192652303,-0.262039886,-0.123336542,-0.422184215,-0.218618047,0.033861725,-0.012934845
R_DEATH_2023,-0.307469089,0.068130286,-0.326544399,-0.014315052,-0.267106104,0.555646702,0.49737363,0.543992919,0.477880787,-0.296598996,-0.328814695,-0.34564624,-0.362689067,-0.241136339,-0.272211744,-0.182629861,-0.2005572,-0.213879262,-0.225770713,-0.23979354,-0.25052983,-0.156613662,-0.163035995,-0.168795335,-0.187360227,-0.206008119,-0.221081104,-0.550719078,-0.633326298,-0.446902463,-0.487355546,-0.407943892,-0.19068363,0.110676134,0.394290233,0.49306448,0.663769511,0.725397256,0.743462739,0.546961183,0.411797851,0.308784009,0.182152573,-0.664681725,-0.677686771,-0.698301347,-0.691927657,-0.181342313,0.112252328,0.479154976,0.535794524,-0.197141471,-0.224520278,-0.244585849,-0.262482595,-0.27272775,-0.279197406,0.355916906,-0.224428717,,,0.327663446,-0.221054804,0.283794201,-0.242616827,-0.644034517,0.543509449,-0.247226099,,,0.522150864,-0.245597725,0.440458702,-0.255844828,-0.607967038,-0.628483037,0.472259514,,0.449706264,0.374087875,-0.236853668,,-0.234536302,-0.249580567,0.543992919,-0.331374043,-0.333463686,-0.48681846,0.543992919,-0.275501989,0.193493112,-0.335899501,-0.232951363,0.169994771,-0.291848462,-0.300205522,-0.461126363,0.019490361,-0.185106788,-0.318275963,-0.012649716,-0.292339256,1,0.251635127,-0.486948035,-0.880815088,0.14591342,0.543992919,-0.044536831,-0.206189892,-0.184397536,0.007607119,-0.064736344,-0.307469089,-0.129886084,-0.1013227,0.008438228
"Percent of adults who are high school graduates (or equivalent), 1990",-0.423120719,0.121890322,-0.276501154,-0.063524521,-0.252767259,0.285368981,0.214600508,0.272312185,0.217653466,-0.367924713,-0.388392292,-0.393662772,-0.399317854,-0.313072873,-0.348636604,-0.203236032,-0.216279925,-0.215734743,-0.22250141,-0.239889087,-0.252355278,-0.18925897,-0.207115045,-0.225001053,-0.24558924,-0.264928618,-0.271511333,-0.619295361,-0.669909246,-0.50527035,-0.521527224,-0.347148014,-0.07190841,0.145403498,0.349094295,1,0.930021297,0.838230775,0.732018182,0.157797521,0.002309127,-0.095892122,-0.131355968,-0.666497284,-0.609999812,-0.567273503,-0.547047203,0.352292283,0.736983971,0.226289931,0.218228269,-0.266466626,-0.297463795,-0.309157808,-0.313186665,-0.315780376,-0.314088241,-0.049155063,-0.277480562,,,-0.070567531,-0.274754546,-0.147694427,-0.303784838,-0.321615595,0.046099654,-0.300345582,,,0.026677921,-0.299489736,-0.047169829,-0.316287046,-0.271165874,-0.29741553,0.006084894,,-0.013834557,-0.093311032,-0.289978158,,-0.288385233,-0.310383098,0.272312185,-0.354381267,-0.355948275,-0.236269113,0.272312185,-0.309206205,-0.006465575,-0.352789684,-0.289012758,0.220438266,-0.35934273,-0.321162814,-0.401989174,0.073308709,-0.104461358,-0.344910206,-0.020202707,-0.161017225,0.49306448,0.288306556,-0.436293429,-0.442931643,0.199475969,0.272312185,-0.436266929,-0.074092466,-0.082277405,-0.391752459,-0.137204254,-0.423120719,-0.233870919,0.051171268,-0.028740098
N_POP_CHG_2023,0.143398417,0.065383162,0.152803308,-0.228366405,-0.080356558,-0.120476946,-0.100229259,-0.117846658,-0.092069868,-0.236173874,-0.179154891,-0.142377935,-0.091077118,-0.338127227,-0.267906258,-0.419094578,-0.335535831,-0.274272425,-0.209840091,-0.141213111,-0.082034018,-0.396022266,-0.36031773,-0.344810254,-0.299749948,-0.232125127,-0.190605236,0.046821053,0.08511446,0.076689161,0.125589994,0.154259313,0.133892084,0.089140672,0.036066167,-0.104461358,-0.119009963,-0.119565477,-0.11484154,-0.115107122,-0.116850046,-0.089585263,-0.083132079,0.094937631,0.103688146,0.086203738,0.08707568,-0.100649624,-0.07649697,0.013001258,-0.061718693,-0.377803448,-0.306281147,-0.242080497,-0.175805671,-0.104051224,-0.040604283,-0.140963074,-0.064507425,,,-0.143444147,-0.080923309,-0.170781733,-0.123282726,0.128008455,-0.168872148,-0.047870078,,,-0.170829642,-0.061693219,-0.193435778,-0.111716374,0.114857688,0.121885185,-0.159735379,,-0.16240375,-0.185228796,-0.055601161,,-0.07058069,-0.117271139,-0.117846658,-0.051521052,-0.046578152,0.103081007,-0.117846658,-0.157837158,-0.144401181,0.006633262,-0.095422001,0.621588183,-0.207700307,0.082985528,0.195665866,0.902318958,1,-0.055268859,0.347633584,0.1173638,-0.185106788,0.393882944,0.156771407,0.194865414,0.471271763,-0.117846658,0.2489263,-0.138471389,-0.195457628,0.266834781,-0.237150079,0.143398417,-0.085182259,0.033395241,0.014251065
"Percent of adults who are high school graduates (or equivalent), 2019-23",-0.3622727,0.158188143,-0.310335577,-0.022245472,-0.266181137,0.488993927,0.415606922,0.473738821,0.397302988,-0.354284695,-0.386960032,-0.390806273,-0.398974523,-0.299160827,-0.332925555,-0.199160385,-0.212023935,-0.209649301,-0.207675928,-0.202447679,-0.197628382,-0.149215826,-0.150890686,-0.150303046,-0.158655125,-0.165237014,-0.172251173,-0.716365741,-0.807417916,-0.632143703,-0.686972673,-0.55465803,-0.323620508,0.002542843,0.319391497,0.732018182,0.893361116,0.951318913,1,0.63982073,0.52859696,0.433209531,0.33686864,-0.839487242,-0.8585854,-0.864738134,-0.877008418,-0.126696174,0.273090566,0.577564661,0.636210845,-0.237392413,-0.264148586,-0.275621314,-0.2829576,-0.276090527,-0.269920261,0.361110781,-0.160348619,,,0.337309239,-0.157241347,0.280142366,-0.20664292,-0.658989944,0.503690243,-0.182749222,,,0.484250724,-0.181526235,0.41928295,-0.219027437,-0.621128378,-0.642592465,0.451043247,,0.431153581,0.360637169,-0.172514785,,-0.170527748,-0.213157886,0.473738821,-0.320315366,-0.323116934,-0.409780547,0.473738821,-0.249243156,0.206129029,-0.293900871,-0.242335874,0.160745767,-0.314038001,-0.26470919,-0.33163985,0.031918097,-0.11484154,-0.300598551,0.023336498,0.007727644,0.743462739,0.25268758,-0.430127852,-0.543859822,0.162254428,0.473738821,-0.128045992,-0.242317688,-0.244973036,-0.062123964,-0.070422385,-0.3622727,-0.175712688,0.009999346,0.006826997
"Percent of adults who are high school graduates (or equivalent), 2008-12",-0.380811581,0.176210739,-0.296799947,-0.032230176,-0.279780189,0.437154073,0.365086042,0.424778937,0.359322988,-0.35853715,-0.390153536,-0.396423549,-0.402394114,-0.298098629,-0.335066276,-0.191562894,-0.204590903,-0.202515261,-0.204528178,-0.207549225,-0.213731844,-0.145460324,-0.153669771,-0.164518028,-0.182316704,-0.198022987,-0.207255139,-0.697713163,-0.784896748,-0.651890289,-0.704182992,-0.575911819,-0.315145279,-0.02516882,0.303396749,0.838230775,0.949825949,1,0.951318913,0.547839451,0.407876561,0.288059238,0.208671902,-0.806304986,-0.809686057,-0.804292799,-0.792414301,-0.034051746,0.377926091,0.523057435,0.569461734,-0.245629452,-0.27588059,-0.290195809,-0.298125564,-0.296511036,-0.292008583,0.27327804,-0.198849768,,,0.251981755,-0.195890156,0.186329902,-0.237647527,-0.598175267,0.410245684,-0.220594865,,,0.392813045,-0.219429283,0.318553183,-0.249729987,-0.559476669,-0.581093153,0.358411553,,0.340588377,0.261943661,-0.210689969,,-0.208805663,-0.244011613,0.424778937,-0.336699548,-0.339053564,-0.363506296,0.424778937,-0.274891121,0.147330281,-0.318527072,-0.256065876,0.176835926,-0.32535078,-0.277053948,-0.372090597,0.045123492,-0.119565477,-0.319780155,-0.004564312,-0.074911476,0.725397256,0.269468288,-0.435184107,-0.571494381,0.179303334,0.424778937,-0.21118818,-0.240148208,-0.237507048,-0.140688785,-0.088129699,-0.380811581,-0.194136014,0.014931259,0.004908546
"Percent of adults completing some college or associate degree, 2008-12",-0.129841673,-0.122395027,-0.151870243,0.000994221,-0.170180935,0.150317255,0.141133724,0.128672917,0.211303442,-0.243072628,-0.239466035,-0.227574767,-0.213412084,-0.261914938,-0.248025315,-0.211518747,-0.193310994,-0.191333259,-0.174319127,-0.155783405,-0.127709165,-0.24324328,-0.224339048,-0.188514048,-0.16431242,-0.141420048,-0.130833142,-0.183912782,-0.213549551,0.356196572,0.499838066,0.709845237,0.888829011,1,0.889222019,0.145403498,0.076418249,-0.02516882,0.002542843,-0.290480124,-0.302832181,-0.280805278,-0.23748258,-0.273139228,-0.27613599,-0.296088999,-0.283256412,0.371595581,0.394877362,-0.237833324,-0.293736646,-0.166706075,-0.142001235,-0.113935087,-0.095581259,-0.071124285,-0.05621498,-0.139346693,-0.122272225,,,-0.16317607,-0.122026165,-0.167260552,-0.139161112,-0.13549819,-0.10271404,-0.132198957,,,-0.125535186,-0.132877453,-0.137876691,-0.145228553,-0.112609519,-0.124468762,-0.12009881,,-0.14368453,-0.152692086,-0.127699557,,-0.128007563,-0.142361519,0.128672917,-0.151900888,-0.152520579,-0.070222628,0.128672917,-0.133672556,0.007870814,-0.1316456,-0.111784259,0.224643088,-0.206480224,-0.220357217,-0.142680929,0.149929397,0.089140672,-0.13831882,0.166109658,-0.035161583,0.110676134,0.203806038,-0.340484013,-0.100152045,0.13271971,0.128672917,-0.034245394,0.30639454,0.262009218,-0.105671076,-0.037721857,-0.129841673,-0.023208569,0.107789485,0.039129798
fips_code,-0.198466074,1,-0.066415788,-0.060611665,-0.005069623,0.081829342,0.048557041,0.072197162,0.069267691,-0.16398438,-0.173674273,-0.171933499,-0.168038397,-0.129174024,-0.150292792,-0.12103569,-0.143111737,-0.149572795,-0.155847196,-0.160373631,-0.163206813,-0.087034924,-0.112242884,-0.138842582,-0.149520548,-0.150196636,-0.148919592,-0.077389797,-0.077555401,-0.203192706,-0.243084217,-0.227443266,-0.178907052,-0.122395027,-0.034955203,0.121890322,0.160762976,0.176210739,0.158188143,0.141008879,0.084625286,0.043988979,0.010259863,-0.086201637,-0.084711237,-0.08297881,-0.086384296,-0.167703805,-0.069069617,0.190618184,0.18793165,-0.153400407,-0.180019532,-0.195257247,-0.200860957,-0.194132972,-0.185571804,-0.017903231,-0.105274159,,,-0.015012734,-0.107000279,-0.014653482,-0.13818048,-0.102340839,0.017591182,-0.117190621,,,0.017556561,-0.120401681,0.031043739,-0.143733927,-0.07924902,-0.09106963,0.002692513,,0.0041501,0.010640008,-0.11176032,,-0.114349815,-0.141112414,0.072197162,-0.161505999,-0.161687967,-0.028573898,0.072197162,-0.152536587,-0.090131458,-0.143389157,-0.192771719,0.12944804,-0.184108551,-0.142834783,-0.022770309,0.075209947,0.065383162,-0.167477381,-0.063838564,0.065219322,0.068130286,0.151434883,-0.13018757,-0.018711798,0.131034958,0.072197162,-0.246154064,-0.047558991,-0.093132597,-0.219674132,-0.107576557,-0.198466074,-0.096604734,0.14281785,-0.058348363
"Percent of adults with less than a high school diploma, 1970",-0.219493621,0.190618184,-0.17225632,-0.009693478,-0.127276284,0.226904152,0.226517267,0.229941687,0.164032027,-0.252764846,-0.268022656,-0.26080587,-0.252057261,-0.214912809,-0.241991017,-0.147064035,-0.166266322,-0.158129275,-0.155364533,-0.145294062,-0.136179643,-0.025622954,-0.031964521,-0.047821443,-0.062061491,-0.073665788,-0.08358522,-0.724802543,-0.685192915,-0.831649977,-0.753335059,-0.666880713,-0.493670911,-0.237833324,0.018593301,0.226289931,0.421178767,0.523057435,0.577564661,0.861381446,0.729955461,0.6107969,0.482511358,-0.627882907,-0.598043019,-0.567908784,-0.547699746,-0.762432874,-0.360624442,1,0.946463781,-0.179402654,-0.204260335,-0.215954994,-0.218427935,-0.20924407,-0.197089278,0.42386861,-0.04687382,,,0.421691782,-0.043557307,0.342639692,-0.091361667,-0.48124433,0.542051567,-0.058831704,,,0.541629929,-0.057012331,0.453382351,-0.098111769,-0.448448415,-0.46664948,0.500493358,,0.500950143,0.407998074,-0.053340298,,-0.05087999,-0.094907366,0.229941687,-0.208092782,-0.210586704,-0.223416898,0.229941687,-0.147214041,0.184200148,-0.177645731,-0.17483046,0.131704519,-0.198711559,-0.142689664,-0.147791256,0.078424875,0.013001258,-0.192862196,-0.090891404,0.03935421,0.479154976,0.348197928,-0.264998949,-0.333381312,0.309801523,0.229941687,0.217551069,-0.436906726,-0.428659008,0.308870027,-0.044579185,-0.219493621,-0.103117273,-0.028869798,0.09171457
avg_power_usage,-0.156985568,0.14281785,-0.155940172,-0.049639316,-0.033693426,0.121134163,0.074454328,0.092751087,0.17100018,-0.114786931,-0.117733672,-0.112529545,-0.110601452,-0.110487411,-0.112681662,-0.112200172,-0.121983479,-0.127514975,-0.12631158,-0.11679754,-0.109536382,-0.10622786,-0.106530569,-0.097983629,-0.086128989,-0.078379361,-0.07406465,-0.03054977,-0.014340673,0.09414789,0.066989334,0.083292597,0.128929258,0.107789485,0.14752706,0.051171268,0.033861725,0.014931259,0.009999346,-0.057175297,-0.07487416,-0.075951875,-0.074318819,-0.032527725,-0.032299728,-0.0184888,-0.039837166,0.024208564,0.03226483,-0.028869798,-0.037105632,-0.094113138,-0.103267114,-0.110057887,-0.112306019,-0.106021332,-0.099700944,-0.130779672,-0.074574527,,,-0.133279705,-0.073887316,-0.0924314,-0.088260009,-0.063643778,-0.101625813,-0.084821454,,,-0.104890507,-0.085471741,-0.065027884,-0.094249948,-0.034597791,-0.04919032,-0.115793119,,-0.118768729,-0.078159869,-0.080140681,,-0.080224249,-0.091408364,0.092751087,-0.097916227,-0.098267407,-0.022147198,0.092751087,-0.087220076,-0.1923437,-0.090754543,-0.120683561,0.079448717,-0.107225355,-0.09586931,-0.016885919,0.040385212,0.033395241,-0.10091598,0.018742972,0.13177592,-0.1013227,0.102150888,-0.08592022,0.13780112,0.088986424,0.092751087,-0.145854326,0.131499523,0.073893601,-0.168463795,-0.062536779,-0.156985568,-0.109812495,1,0.020610539
"Percent of adults with less than a high school diploma, 1980",-0.202609865,0.18793165,-0.195789819,0.008404329,-0.128290435,0.280629492,0.27168553,0.28682194,0.223905546,-0.210825352,-0.234847753,-0.233012586,-0.229939459,-0.159846088,-0.193663435,-0.094181017,-0.117127204,-0.112638635,-0.112993241,-0.106069546,-0.099971858,0.021034093,0.018107117,0.004193254,-0.011263119,-0.025191189,-0.038501203,-0.674229539,-0.705518569,-0.780258093,-0.794695647,-0.738638761,-0.578057312,-0.293736646,-0.001739098,0.218228269,0.44790206,0.569461734,0.636210845,0.95626812,0.848816268,0.728272227,0.588250496,-0.674003547,-0.664525371,-0.637019106,-0.616627965,-0.734211032,-0.403566671,0.946463781,1,-0.127389037,-0.156637204,-0.173527923,-0.181910503,-0.177154539,-0.168830184,0.518872826,-0.005917569,,,0.516515777,-0.002169583,0.452572347,-0.048208664,-0.566073424,0.635879784,-0.017364732,,,0.635378974,-0.015091881,0.563272406,-0.054716177,-0.54235239,-0.556462092,0.596385625,,0.596880306,0.51909078,-0.012080618,,-0.009168253,-0.051617875,0.28682194,-0.181706951,-0.184677416,-0.260072432,0.28682194,-0.111239214,0.25172597,-0.149363514,-0.135573382,0.06454083,-0.145453699,-0.119632075,-0.145562836,0.003451399,-0.061718693,-0.16381559,-0.094394615,0.096382237,0.535794524,0.276893036,-0.239714614,-0.345574228,0.238898164,0.28682194,0.214015819,-0.411832998,-0.400006662,0.29954749,-0.016884951,-0.202609865,-0.091082144,-0.037105632,0.098636452
RESIDUAL_2023,0.068669541,-0.063838564,0.02995703,0.087580605,-0.090095245,0.015534521,0.010247571,0.010791172,0.070822485,-0.107765155,-0.10087276,-0.100692488,-0.102686491,-0.158992432,-0.125549012,-0.187281799,-0.135194179,-0.120858599,-0.0873463,-0.048053442,-0.008904423,-0.28044151,-0.230251029,-0.168754573,-0.1199826,-0.060666371,-0.024819508,0.061419726,0.027477968,0.12914933,0.137098648,0.161953891,0.165681158,0.166109658,0.162490491,-0.020202707,-0.01092292,-0.004564312,0.023336498,-0.091270993,-0.070537003,-0.022652875,0.022471577,0.003247126,-0.022597877,-0.062080427,-0.091226161,0.044094402,0.037129318,-0.090891404,-0.094394615,-0.109824418,-0.070182543,-0.036399498,-0.013975257,0.022930168,0.048079579,-0.048090674,0.015774553,,,-0.058370678,0.0188397,-0.044825341,-0.049797493,0.005273696,-0.068865453,0.007079979,,,-0.082111359,0.008190445,-0.050927835,-0.051632595,-0.000190704,0.002526168,-0.061119184,,-0.073603339,-0.048704418,0.011107517,,0.013089616,-0.050767287,0.010791172,-0.018179034,-0.017227046,0.020175041,0.010791172,-0.03839975,0.00542901,0.020387302,0.011579668,0.288284721,-0.112810428,-0.096666706,0.032761335,0.323353106,0.347633584,-0.001664034,1,0.081529988,-0.012649716,0.080856423,-0.111813213,0.049326534,0.058737617,0.010791172,0.041775149,-0.018892084,-0.032250202,0.043650266,0.070596586,0.068669541,0.101753216,0.018742972,0.003850561
"Percent of adults completing some college or associate degree, 2000",0.041879941,-0.178907052,-0.017670505,0.003847306,-0.032109489,-0.06268185,-0.05071051,-0.068802538,0.004416825,-0.085966206,-0.066886191,-0.0501904,-0.033124935,-0.133420913,-0.102978923,-0.113840973,-0.084293279,-0.077986181,-0.058650438,-0.038606915,-0.013323788,-0.1735359,-0.152898086,-0.116478273,-0.08756229,-0.058899374,-0.043551734,0.084037312,0.096185766,0.600273874,0.749503572,0.907845152,1,0.888829011,0.690497253,-0.07190841,-0.225837435,-0.315145279,-0.323620508,-0.57447491,-0.538972762,-0.463334533,-0.376272614,0.052890136,0.057270949,0.045681241,0.053203606,0.485536249,0.37102231,-0.493670911,-0.578057312,-0.059730302,-0.019972988,0.018247665,0.04322922,0.064593606,0.077431686,-0.308345648,-0.046299801,,,-0.318545862,-0.047948913,-0.317501423,-0.043934329,0.164077141,-0.342706911,-0.045645719,,,-0.354820386,-0.047063923,-0.350324928,-0.043993155,0.167482692,0.166502222,-0.333709308,,-0.346013258,-0.339200221,-0.045980526,,-0.047511232,-0.043975137,-0.068802538,0.001631504,0.002353437,0.081844143,-0.068802538,-0.014178485,-0.096248479,0.010214099,0.011578908,0.140053885,-0.07156549,-0.086805324,0.005651655,0.129066556,0.133892084,0.006885897,0.165681158,-0.035325847,-0.19068363,0.093176019,-0.160321603,0.121458658,0.059638408,-0.068802538,-0.007059686,0.390635388,0.352132721,-0.100239358,-0.006306538,0.041879941,0.04267334,0.128929258,-0.018588103
CI90UBALLP_2023,-0.057874779,0.031043739,-0.117514332,0.061506465,-0.117804661,0.363607124,0.339864861,0.363620416,0.39408057,-0.122277732,-0.157338499,-0.16748919,-0.17503456,-0.062145484,-0.092559699,-0.018414518,-0.042497177,-0.050809843,-0.058275032,-0.05607793,-0.052274704,0.075887054,0.065845125,0.052998337,0.039760887,0.032104056,0.018592555,-0.197893188,-0.303067964,-0.313140039,-0.369778124,-0.41060237,-0.350324928,-0.137876691,0.087237693,-0.047169829,0.166416623,0.318553183,0.41928295,0.644983244,0.669561007,0.638057798,0.562852424,-0.370413266,-0.448696722,-0.495043167,-0.508840721,-0.481422564,-0.388838633,0.453382351,0.563272406,-0.04335744,-0.063646577,-0.083452878,-0.097431873,-0.098031635,-0.097144365,0.839459698,0.108957296,,,0.826286063,0.109376791,0.957369695,0.071444311,-0.797145967,0.91181033,0.102733186,,,0.903146305,0.102382837,1,0.066517359,-0.80621972,-0.805125739,0.896006545,,0.887226626,0.991371676,0.105685378,,0.105684571,0.068887906,0.363620416,-0.119762512,-0.12310817,-0.305327963,0.363620416,-0.04301699,0.443675703,-0.074733295,-0.065110474,-0.083272845,0.002226565,-0.062531204,-0.077821674,-0.157070351,-0.193435778,-0.100653912,-0.050927835,0.191909281,0.440458702,-0.162161458,-0.068127817,-0.228475964,-0.195100246,0.363620416,0.237233475,-0.211502663,-0.196807723,0.273444335,0.039121758,-0.057874779,0.032450806,-0.065027884,0.150338914
